"Date","hml_int_t100","hml_ime_t100","hml_int_t30","omk"
2003-11-30,2.303,1.7362,2.2563,0.5907
2003-12-31,-0.2305,-0.0111,0.058,-2.2221
2004-01-31,3.432,2.9599,4.0127,0.7731
2004-02-29,1.0376,0.8245,1.5361,3.6795
2004-03-31,0.5098,-0.1512,-0.1743,2.0526
2004-04-30,-1.7982,-1.0081,-2.7,1.3546
2004-05-31,0.1265,-0.1424,0.3355,1.1193
2004-06-30,1.6065,1.4272,1.0647,0.4194
2004-07-31,0.6231,-0.4717,2.5473,0.0293
2004-08-31,0.2867,0.4716,0.3937,-0.3666
2004-09-30,0.929,1.2037,0.1188,0.9212
2004-10-31,-0.0693,0.3915,0.2702,2.209
2004-11-30,1.6735,1.9704,2.5125,1.253
2004-12-31,0.1575,1.0379,0.096,0.0049
2005-01-31,0.5762,0.1582,2.5023,4.3763
2005-02-28,0.9221,0.4633,2.1466,6.7901
2005-03-31,1.4549,0.8091,2.1144,-2.7908
2005-04-30,-0.3519,-0.4713,-1.1574,-1.3898
2005-05-31,0.3719,0.8621,0.7558,-0.9132
2005-06-30,1.4129,1.7408,2.8438,1.8103
2005-07-31,0.2936,-0.7333,0.5449,1.1265
2005-08-31,1.1291,0.5721,-0.0151,2.2232
2005-09-30,-0.1547,-0.2279,0.8371,2.5568
2005-10-31,-1.3087,-0.965,-1.9527,-2.2303
2005-11-30,-0.8878,-0.1753,-1.5961,0.452
2005-12-31,0.6579,0.5234,1.0408,-1.9217
2006-01-31,1.1697,1.0636,2.1842,3.1108
2006-02-28,0.1428,2.254,-0.3291,-1.9453
2006-03-31,0.8537,0.0973,0.243,1.0383
2006-04-30,1.8067,1.7661,1.6337,0.8931
2006-05-31,1.0712,1.4005,2.2671,-0.9348
2006-06-30,-0.0998,-0.1725,1.1168,0.5001
2006-07-31,1.9504,1.0179,1.8265,3.2453
2006-08-31,-0.1825,0.0039,-1.1114,-2.0095
2006-09-30,0.9316,0.9155,1.1668,-0.7488
2006-10-31,-0.4961,1.0253,0.5408,1.8666
2006-11-30,-0.2879,-0.74,-0.5128,1.9029
2006-12-31,2.1376,3.0842,1.737,-0.6318
2007-01-31,1.6596,1.6706,0.7365,-1.559
2007-02-28,0.0316,-0.3807,0.3297,-0.4359
2007-03-31,0.1049,0.2895,0.7132,1.3311
2007-04-30,-0.8035,-0.0164,-0.7875,0.3875
2007-05-31,-0.3059,-0.4453,-0.7104,-0.0456
2007-06-30,-0.0146,-0.0256,-1.392,-0.2047
2007-07-31,-1.7436,-1.8695,-3.0367,-0.5176
2007-08-31,-3.1459,-1.928,-3.1793,-0.8844
2007-09-30,-2.9951,-3.1896,-3.1338,-0.69
2007-10-31,-1.7662,-2.2754,-1.7525,-3.3609
2007-11-30,-0.8482,-0.5958,-1.2883,1.4599
2007-12-31,-1.0393,-2.0554,-0.6497,1.7222
2008-01-31,3.7692,1.4116,2.021,-0.4154
2008-02-29,0.6269,-0.4523,1.0349,0.8674
2008-03-31,-0.9116,-1.3554,0.6342,-2.7655
2008-04-30,0.0314,-0.2586,0.3691,2.3851
2008-05-31,-0.2003,-0.1944,0.0627,-2.1661
2008-06-30,-1.0591,-2.4457,0.3126,3.7958
2008-07-31,3.2709,2.988,1.8903,-1.9031
2008-08-31,2.1142,2.4563,3.03,1.0406
2008-09-30,2.1136,1.109,3.2539,5.3406
2008-10-31,-0.7547,-2.7327,-1.1937,6.9743
2008-11-30,-3.7531,-3.0932,-2.0845,12.1821
2008-12-31,0.5863,1.3441,-0.3883,0.9556
2009-01-31,-4.2938,-2.594,-4.6177,1.4036
2009-02-28,-3.5895,-2.3347,-2.2463,3.6467
2009-03-31,1.4606,0.6878,3.1064,-5.8839
2009-04-30,6.9394,3.2468,6.3058,-12.8663
2009-05-31,-0.2712,-2.1444,-3.0796,-1.2274
2009-06-30,-1.2236,-0.9041,-1.5669,4.2221
2009-07-31,4.2667,5.0222,4.5558,-5.7784
2009-08-31,5.4368,5.3233,5.5746,-1.0137
2009-09-30,2.4352,1.3655,3.0131,-5.5824
2009-10-31,-4.5977,-3.5849,-3.8092,6.6126
2009-11-30,0.8027,0.1961,-0.2288,-2.2679
2009-12-31,1.7707,1.5552,1.6357,-4.8455
2010-01-31,0.8413,1.8217,0.8133,-2.3024
2010-02-28,2.5691,2.578,2.9516,-1.1955
2010-03-31,2.8293,2.7782,2.5045,-0.7128
2010-04-30,3.0257,3.5137,3.6976,0.0437
2010-05-31,-0.931,-1.2432,-1.9601,0.7382
2010-06-30,-5.589,-5.3993,-6.1053,-0.4592
2010-07-31,1.2964,1.5329,0.9872,-0.1225
2010-08-31,-1.9824,-2.5494,-3.2001,1.1806
2010-09-30,2.0668,2.9289,-0.8822,-1.5601
2010-10-31,-2.2308,-2.8863,-3.2905,1.3136
2010-11-30,-0.1913,0.5094,-0.7653,1.3737
2010-12-31,3.1536,2.7892,3.9849,-1.6428
2011-01-31,0.1866,0.0352,0.0512,1.3818
2011-02-28,0.5851,0.3577,0.4298,0.1331
2011-03-31,0.274,0.9955,-1.3347,0.9731
2011-04-30,-0.2162,0.1814,-2.5887,2.194
2011-05-31,0.6278,1.1033,-1.3278,0.269
2011-06-30,-0.9761,-1.131,-0.3309,0.786
2011-07-31,-2.076,-2.3099,-1.2998,-0.1753
2011-08-31,-2.8161,-2.8096,-2.6005,1.2239
2011-09-30,-0.6757,-1.0069,-1.7069,2.5212
2011-10-31,-0.3142,-0.2087,0.5814,-1.9103
2011-11-30,0.702,0.6749,-1.237,0.1959
2011-12-31,1.2093,1.6449,2.2773,0.1101
2012-01-31,-0.5231,-0.2418,0.078,-0.562
2012-02-29,1.2227,1.4659,0.6685,1.1076
2012-03-31,0.8566,0.7957,1.7703,0.8631
2012-04-30,-1.2094,-1.898,-1.4369,1.4343
2012-05-31,-0.2679,0.0756,-0.7635,0.2809
2012-06-30,0.2714,0.4011,0.5943,-0.7536
2012-07-31,-0.7892,-0.2936,0.1788,-0.5265
2012-08-31,1.5452,1.3338,1.3051,-1.2006
2012-09-30,1.2278,1.1639,1.495,-0.4158
2012-10-31,1.8781,1.3859,4.3268,-0.9134
2012-11-30,0.9889,1.2453,-1.6322,1.4861
2012-12-31,1.6208,1.986,3.096,0.2609
2013-01-31,1.5094,2.738,1.3512,1.074
2013-02-28,0.2037,1.4866,-0.2,0.5177
2013-03-31,0.9795,1.5908,0.4888,0.8414
2013-04-30,-0.2582,-0.6114,1.5765,-1.8996
2013-05-31,1.912,1.4294,2.3682,0.0926
2013-06-30,-0.6945,-0.5874,-0.4072,-1.0135
2013-07-31,1.017,1.6941,0.6688,-0.0975
2013-08-31,-1.7944,-2.4398,-3.0353,-1.5622
2013-09-30,-0.3407,0.3061,-0.6889,-0.8422
2013-10-31,1.319,0.3639,1.1245,-1.0006
2013-11-30,0.5322,1.6245,0.7344,-0.2226
2013-12-31,-0.4296,0.0203,-0.7373,2.8018
2014-01-31,0.7783,0.4832,-2.1231,-5.4105
2014-02-28,0.2997,0.0476,0.2419,0.8088
2014-03-31,3.7764,2.87,3.7875,1.384
2014-04-30,0.7375,0.1868,1.0629,-0.2342
2014-05-31,0.5005,0.0468,-0.1488,-0.8562
2014-06-30,-0.8786,-1.4475,0.0365,-0.054
2014-07-31,0.1686,0.1744,-0.6306,-2.2519
2014-08-31,-0.8528,-0.311,0.0439,-2.7389
2014-09-30,-0.2329,-0.4823,-1.284,-0.6533
2014-10-31,-1.383,-0.0315,-2.4401,1.4435
2014-11-30,1.0376,2.5811,-1.9112,-1.9849
2014-12-31,1.6501,2.6617,2.0025,2.6449
2015-01-31,-1.0712,-1.1425,-3.227,-1.0396
2015-02-28,-1.083,-0.8659,-2.3064,-0.4931
2015-03-31,0.3619,1.4187,-0.1315,0.3203
2015-04-30,-0.5667,-1.4127,1.2685,0.7861
2015-05-31,-0.0392,1.8303,-1.0496,-2.3578
2015-06-30,-1.2078,0.1381,-0.8197,0.8685
2015-07-31,-3.605,-1.2442,-4.9258,-4.6313
2015-08-31,3.9725,2.7986,3.3961,2.751
2015-09-30,-1.2665,-0.3017,0.3999,1.068
2015-10-31,-1.736,-1.8841,-0.0173,-0.4831
2015-11-30,-0.5506,-1.2464,-1.5238,0.4458
